status_code,response_time,response_length,header_count,cookie_count,redirect_count,framework_encoded,server_encoded,authentication,param_count,form_count,endpoint_count,depth,has_password_field,has_file_upload,has_search_form,label
500,1344,5291,6,4,2,1,2,0,2,2,4,2,1,0,1,Configuration
301,221,1055,1,0,1,1,1,0,0,0,1,1,0,0,0,Header
302,560,2547,6,3,1,2,3,1,3,2,9,3,1,0,0,Authentication
500,890,5493,5,0,1,1,1,0,1,0,2,3,1,0,1,Information
500,825,8326,7,0,1,3,1,1,5,1,10,3,1,0,0,Authorization
403,211,4397,7,3,1,3,0,1,4,0,18,4,1,1,0,Information
403,542,7308,6,4,0,0,2,0,0,2,11,2,0,1,0,Configuration
200,260,2188,4,0,0,3,1,0,0,0,1,1,0,0,0,Header
500,148,2831,9,2,2,0,2,0,5,2,1,4,1,0,0,Configuration
400,442,306,8,1,1,3,0,0,0,0,4,4,0,0,0,Configuration
200,624,1922,4,1,0,3,1,1,6,2,10,1,1,1,1,Input Validation
403,1871,5550,9,1,2,3,0,0,5,0,1,0,0,1,0,Authorization
200,1332,7626,7,2,0,4,0,0,1,2,9,3,0,1,0,Information
403,1583,7654,2,4,0,0,2,0,1,1,5,0,0,0,1,Configuration
403,779,5891,7,3,2,2,3,0,0,2,6,4,1,1,1,Authorization
200,1274,9439,4,4,2,3,3,0,3,2,3,2,1,1,0,Configuration
200,1713,6794,3,0,2,3,0,0,1,2,10,2,0,1,1,Authorization
200,1645,2149,2,3,0,4,3,0,0,0,3,2,1,1,0,Information
200,1993,1748,9,3,1,3,1,0,5,0,3,0,0,1,1,Information
302,871,1056,2,3,0,3,0,1,4,2,3,0,1,0,1,Configuration
200,424,1545,7,3,1,2,2,1,1,1,1,3,1,0,0,Authentication
200,915,4954,5,2,0,0,3,0,5,2,14,2,0,1,0,Input Validation
301,210,706,3,1,0,3,2,0,0,0,1,0,0,0,0,Header
200,1329,3494,9,1,0,1,2,1,1,2,8,1,1,0,1,Authorization
400,539,1509,3,0,0,0,2,1,4,1,3,1,0,1,0,Configuration
200,85,5280,6,1,1,3,2,1,3,2,2,3,1,0,0,Authentication
200,215,674,2,0,1,1,1,0,0,0,2,0,0,0,0,Header
401,103,7646,6,1,0,4,3,1,3,2,5,3,1,0,0,Authentication
200,399,4642,5,3,0,1,3,1,1,2,3,1,1,0,0,Authentication
400,1677,5277,8,1,0,1,0,1,0,0,1,1,1,0,0,Configuration
200,537,7504,6,0,0,4,1,0,2,1,16,2,0,1,0,Configuration
403,1142,2241,7,3,0,3,3,1,1,0,7,3,0,1,1,Configuration
200,275,2949,4,0,1,1,2,0,0,0,2,1,0,0,0,Header
