No,Temuan,Severity,Confidence,OWASP,CWE
1,Missing Security Headers,medium,99%,A05:2021,CWE-693
2,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
3,Information Disclosure,medium,78%,A02:2021,CWE-200
4,Server Version Disclosure,low,98%,A05:2021,CWE-200
5,Missing Security Headers,medium,99%,A05:2021,CWE-693
6,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
7,Server Version Disclosure,low,98%,A05:2021,CWE-200
8,Missing Security Headers,medium,99%,A05:2021,CWE-693
9,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
10,Server Version Disclosure,low,98%,A05:2021,CWE-200
11,Missing Security Headers,medium,99%,A05:2021,CWE-693
12,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
13,Server Version Disclosure,low,98%,A05:2021,CWE-200
14,Missing Security Headers,medium,99%,A05:2021,CWE-693
15,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
16,Server Version Disclosure,low,98%,A05:2021,CWE-200
17,Missing Security Headers,medium,99%,A05:2021,CWE-693
18,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
19,Server Version Disclosure,low,98%,A05:2021,CWE-200
20,Missing Security Headers,medium,99%,A05:2021,CWE-693
21,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
22,Missing Security Headers,medium,99%,A05:2021,CWE-693
23,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
24,Server Version Disclosure,low,98%,A05:2021,CWE-200
25,Missing Security Headers,medium,99%,A05:2021,CWE-693
26,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
27,Server Version Disclosure,low,98%,A05:2021,CWE-200
28,Missing Security Headers,medium,99%,A05:2021,CWE-693
29,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
30,Server Version Disclosure,low,98%,A05:2021,CWE-200
31,Information Disclosure,medium,78%,A02:2021,CWE-200
32,Server Version Disclosure,low,98%,A05:2021,CWE-200
33,Missing Security Headers,medium,99%,A05:2021,CWE-693
34,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
35,Server Version Disclosure,low,98%,A05:2021,CWE-200
36,Missing Security Headers,medium,99%,A05:2021,CWE-693
37,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
38,Server Version Disclosure,low,98%,A05:2021,CWE-200
39,Missing Security Headers,medium,99%,A05:2021,CWE-693
40,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
41,Server Version Disclosure,low,98%,A05:2021,CWE-200
42,Missing Security Headers,medium,99%,A05:2021,CWE-693
43,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
44,Server Version Disclosure,low,98%,A05:2021,CWE-200
45,Missing Security Headers,medium,99%,A05:2021,CWE-693
46,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
47,Server Version Disclosure,low,98%,A05:2021,CWE-200
48,Missing Security Headers,medium,99%,A05:2021,CWE-693
49,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
50,Server Version Disclosure,low,98%,A05:2021,CWE-200
51,Missing Security Headers,medium,99%,A05:2021,CWE-693
52,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
53,Server Version Disclosure,low,98%,A05:2021,CWE-200
54,Missing Security Headers,medium,99%,A05:2021,CWE-693
55,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
56,Server Version Disclosure,low,98%,A05:2021,CWE-200
57,Missing Security Headers,medium,99%,A05:2021,CWE-693
58,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
59,Server Version Disclosure,low,98%,A05:2021,CWE-200
60,Missing Security Headers,medium,99%,A05:2021,CWE-693
61,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
62,Server Version Disclosure,low,98%,A05:2021,CWE-200
63,Missing Security Headers,medium,99%,A05:2021,CWE-693
64,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
65,Server Version Disclosure,low,98%,A05:2021,CWE-200
66,Missing Security Headers,medium,99%,A05:2021,CWE-693
67,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
68,Server Version Disclosure,low,98%,A05:2021,CWE-200
69,Missing Security Headers,medium,99%,A05:2021,CWE-693
70,Critical Security Headers Missing,high,99%,A05:2021,CWE-693
71,Server Version Disclosure,low,98%,A05:2021,CWE-200
72,Missing Security Headers,medium,99%,A05:2021,CWE-693
